table,domain,path,line
o_as_entry,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1657
o_as_score_accounting_trigger,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1725
o_as_compensation,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1739
o_as_compensation_log,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1755
o_as_mode_course,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1769
o_as_mode_course_to_group,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1806
o_as_mode_course_to_area,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1813
o_as_mode_course_to_cur_el,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1820
o_as_seb_template,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1828
o_as_inspection_configuration,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1843
o_as_inspection,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1864
o_as_inspection_log,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1884
o_as_message,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1896
o_as_message_log,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,1911
o_cer_template,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1922
o_cer_certificate,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1934
o_cer_entry_config,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1961
o_cer_program,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1983
o_cer_program_to_organisation,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2011
o_cer_program_to_element,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2019
o_cer_program_mail_config,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2027
o_cer_program_log,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2043
o_gr_grade_system,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2061
o_gr_performance_class,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2078
o_gr_grade_scale,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2089
o_gr_breakpoint,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2101
