type,name,component,path,has_version_php,has_install_xml,has_access_php,has_services_php,php_files,templates,tests,table_count,tables,capabilities,services
tool,replace,tool_replace,public/admin/tool/replace,True,False,False,False,7,0,0,0,,0,0
tool,spamcleaner,tool_spamcleaner,public/admin/tool/spamcleaner,True,False,False,False,5,0,0,0,,0,0
tool,task,tool_task,public/admin/tool/task,True,False,False,False,26,1,11,0,,0,0
tool,templatelibrary,tool_templatelibrary,public/admin/tool/templatelibrary,True,False,False,True,11,3,1,0,,0,2
tool,unsuproles,tool_unsuproles,public/admin/tool/unsuproles,True,False,False,False,6,0,0,0,,0,0
tool,uploadcourse,tool_uploadcourse,public/admin/tool/uploadcourse,True,False,True,False,20,0,34,0,,1,0
tool,uploaduser,tool_uploaduser,public/admin/tool/uploaduser,True,False,True,False,20,0,5,0,,1,0
tool,usertours,tool_usertours,public/admin/tool/usertours,True,True,True,True,66,2,28,2,tool_usertours_tours;tool_usertours_steps,1,0
tool,xmldb,tool_xmldb,public/admin/tool/xmldb,True,False,False,True,61,0,1,0,,0,0
workshopallocation,manual,workshopallocation_manual,public/mod/workshop/allocation/manual,True,False,False,False,7,0,2,0,,0,0
workshopallocation,random,workshopallocation_random,public/mod/workshop/allocation/random,True,False,False,False,7,0,1,0,,0,0
workshopallocation,scheduled,workshopallocation_scheduled,public/mod/workshop/allocation/scheduled,True,True,False,False,10,0,1,1,workshopallocation_scheduled,0,0
workshopeval,best,workshopeval_best,public/mod/workshop/eval/best,True,True,False,False,8,0,1,1,workshopeval_best_settings,0,0
workshopform,accumulative,workshopform_accumulative,public/mod/workshop/form/accumulative,True,True,False,False,13,0,2,1,workshopform_accumulative,0,0
workshopform,comments,workshopform_comments,public/mod/workshop/form/comments,True,True,False,False,12,0,1,1,workshopform_comments,0,0
workshopform,numerrors,workshopform_numerrors,public/mod/workshop/form/numerrors,True,True,False,False,14,0,2,2,workshopform_numerrors;workshopform_numerrors_map,0,0
workshopform,rubric,workshopform_rubric,public/mod/workshop/form/rubric,True,True,False,False,13,0,2,3,workshopform_rubric;workshopform_rubric_levels;workshopform_rubric_config,0,0
