kind,name,package,path,table
entity,Criterion,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/Criterion.java,rbc_criterion
entity,Rubric,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/Rubric.java,rbc_rubric
entity,CriterionOutcome,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/CriterionOutcome.java,rbc_criterion_outcome
entity,ToolItemRubricAssociation,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/ToolItemRubricAssociation.java,rbc_tool_item_rbc_assoc
entity,Rating,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/Rating.java,rbc_rating
entity,ReturnedCriterionOutcome,org.sakaiproject.rubrics.api.model,rubrics/api/src/main/java/org/sakaiproject/rubrics/api/model/ReturnedCriterionOutcome.java,rbc_returned_criterion_out
entity,PrivacyRecord,org.sakaiproject.hbm.privacy,common/privacy-hbm/src/java/org/sakaiproject/hbm/privacy/PrivacyRecord.java,SAKAI_PRIVACY_RECORD
entity,MailArchiveEntityProvider,org.sakaiproject.mailarchive.entityprovider,mailarchive/mailarchive-tool/tool/src/java/org/sakaiproject/mailarchive/entityprovider/MailArchiveEntityProvider.java,
entity,SyllabusItem,org.sakaiproject.api.app.syllabus,syllabus/syllabus-api/src/java/org/sakaiproject/api/app/syllabus/SyllabusItem.java,SAKAI_SYLLABUS_ITEM
entity,SyllabusAttachment,org.sakaiproject.api.app.syllabus,syllabus/syllabus-api/src/java/org/sakaiproject/api/app/syllabus/SyllabusAttachment.java,SAKAI_SYLLABUS_ATTACH
entity,SyllabusData,org.sakaiproject.api.app.syllabus,syllabus/syllabus-api/src/java/org/sakaiproject/api/app/syllabus/SyllabusData.java,SAKAI_SYLLABUS_DATA
entity,SyllabusEntityProvider,org.sakaiproject.tool.syllabus.entityproviders,syllabus/syllabus-app/src/java/org/sakaiproject/tool/syllabus/entityproviders/SyllabusEntityProvider.java,
entity,TagAssociation,org.sakaiproject.tags.api,tags/tags-api/api/src/java/org/sakaiproject/tags/api/TagAssociation.java,tagservice_tagassociation
entity,TagServiceAdminEntityProvider,org.sakaiproject.tags.impl.rest,tags/tags-impl/impl/src/java/org/sakaiproject/tags/impl/rest/TagServiceAdminEntityProvider.java,
entity,TagServiceEntityProvider,org.sakaiproject.tags.impl.rest,tags/tags-impl/impl/src/java/org/sakaiproject/tags/impl/rest/TagServiceEntityProvider.java,
entity,PodcastEntityProvider,org.sakaiproject.tool.podcasts.entityproviders,podcasts/podcasts-app/src/java/org/sakaiproject/tool/podcasts/entityproviders/PodcastEntityProvider.java,
entity,FeedbackEntityProvider,org.sakaiproject.feedback.tool.entityproviders,feedback/src/java/org/sakaiproject/feedback/tool/entityproviders/FeedbackEntityProvider.java,
entity,NotificationEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/NotificationEntityProvider.java,
entity,MembershipEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/MembershipEntityProvider.java,
entity,SessionEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/SessionEntityProvider.java,
entity,UserEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/UserEntityProvider.java,
entity,AcademicSessionEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/AcademicSessionEntityProvider.java,
entity,SiteEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/SiteEntityProvider.java,
entity,ServerConfigEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/ServerConfigEntityProvider.java,
entity,ToolEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/ToolEntityProvider.java,
entity,IgniteEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/IgniteEntityProvider.java,
entity,AbstractContainerEntityProvider,org.sakaiproject.entitybroker.providers,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/AbstractContainerEntityProvider.java,
entity,EntitySession,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntitySession.java,
entity,EntityUser,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntityUser.java,
entity,EntitySitePage,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntitySitePage.java,
entity,EntityServerConfig,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntityServerConfig.java,
entity,EntitySite,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntitySite.java,
entity,EntityGroup,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntityGroup.java,
entity,EntityTool,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntityTool.java,
entity,EntityMember,org.sakaiproject.entitybroker.providers.model,entitybroker/tool/src/main/java/org/sakaiproject/entitybroker/providers/model/EntityMember.java,
entity,EntityTagApplication,org.sakaiproject.entitybroker.model,entitybroker/api/src/main/java/org/sakaiproject/entitybroker/model/EntityTagApplication.java,ENTITY_TAG_APPLICATIONS
