table,domain,path,line,source
qrtz_locks,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,128,sql
qrtz_paused_trigger_grps,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,100,sql
qrtz_scheduler_state,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,121,sql
qrtz_simple_triggers,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,55,sql
qrtz_simprop_triggers,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz2.sql,70,sql
qrtz_trigger_listeners,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,85,sql
qrtz_triggers,其他工具表,jobscheduler/scheduler-component-shared/src/sql/oracle/quartz.sql,33,sql
rwikicurrentcontent,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/model/RWiki.hbm.xml,14,hbm
rwikihistory,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/model/RWiki.hbm.xml,34,hbm
rwikihistorycontent,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/model/RWiki.hbm.xml,24,hbm
rwikiobject,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/model/RWiki.hbm.xml,72,hbm
rwikipagemessage,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/message/model/message.hbm.xml,38,hbm
rwikipagepresence,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/message/model/message.hbm.xml,8,hbm
rwikipagetrigger,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/message/model/message.hbm.xml,51,hbm
rwikipreference,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/message/model/message.hbm.xml,22,hbm
rwikiproperties,其他工具表,rwiki/rwiki-model/src/java/uk/ac/cam/caret/sakai/rwiki/model/RWiki.hbm.xml,5,hbm
sakai_feedback,其他工具表,feedback/src/java/oracle/createtables.sql,1,sql
search_journal,其他工具表,search/search-impl/impl/src/sql/oracle/sakai_search_parallel.sql,20,sql
search_node_status,其他工具表,search/search-impl/impl/src/sql/oracle/sakai_search_parallel.sql,27,sql
search_transaction,其他工具表,search/search-impl/impl/src/sql/oracle/sakai_search_parallel.sql,4,sql
searchbuilderitem,其他工具表,search/search-impl/impl/src/sql/oracle/sakai_search_parallel.sql,10,sql
tagservice_collection,其他工具表,tags/tags-impl/impl/src/resources/db/migration/mysql.sql,1,sql
tagservice_tag,其他工具表,tags/tags-impl/impl/src/resources/db/migration/mysql.sql,17,sql
user_audits_log,其他工具表,userauditservice/impl/src/sql/oracle/user_audits.sql,2,sql
CONTENT_COLLECTION,内容与文件,kernel/kernel-impl/src/main/sql/oracle/sakai_content.sql,5,sql
CONTENT_DROPBOX_CHANGES,内容与文件,kernel/kernel-impl/src/main/sql/oracle/sakai_content.sql,211,sql
CONTENT_RESOURCE,内容与文件,kernel/kernel-impl/src/main/sql/oracle/sakai_content.sql,131,sql
CONTENT_RESOURCE_BB_DELETE,内容与文件,kernel/kernel-impl/src/main/sql/oracle/sakai_content_delete.sql,53,sql
CONTENT_RESOURCE_BODY_BINARY,内容与文件,kernel/kernel-impl/src/main/sql/oracle/sakai_content.sql,189,sql
CONTENT_RESOURCE_DELETE,内容与文件,kernel/kernel-impl/src/main/sql/oracle/sakai_content_delete.sql,5,sql
CONTENT_TYPE_REGISTRY,内容与文件,kernel/kernel-impl/src/main/sql/oracle/sakai_content_registry.sql,5,sql
SAKAI_EVENT,日志统计,kernel/kernel-impl/src/main/sql/oracle/sakai_event.sql,5,sql
